mse1      (p2point),"mse1,PSNR (p2point)",mse1      (p2plane),"mse1,PSNR (p2plane)",h.       1(p2point),"h.,PSNR  1(p2point)",mse2      (p2point),"mse2,PSNR (p2point)",mse2      (p2plane),"mse2,PSNR (p2plane)",h.       2(p2point),"h.,PSNR  2(p2point)",mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",h.        (p2point),"h.,PSNR   (p2point)",num_points(input),num_points(output),resolution,bits,bpp,bpp(coords),bpp(feats),time(enc),time(dec)
2.1895,61.5653,1.16246,64.3149,166.0,42.7676,1.42519,63.43,1.16253,64.3147,44.0,48.5342,2.1895,61.5653,1.16253,64.3147,166.0,42.7676,1089091,1089091,1024,27856,0.025,0.025,0.0,0.58,1.264
0.74426,66.2515,0.357638,69.4343,69.0,46.5802,0.528578,67.7376,0.352112,69.5019,35.0,49.528,0.74426,66.2515,0.357638,69.4343,69.0,46.5802,1089091,1089091,1024,53688,0.049,0.025,0.024,0.346,1.25
0.349891,69.5294,0.171008,72.6385,42.0,48.7362,0.315516,69.9785,0.175389,72.5287,10.0,54.9687,0.349891,69.5294,0.175389,72.5287,42.0,48.7362,1089091,1089091,1024,101496,0.093,0.025,0.068,0.336,1.184
0.22025,71.5396,0.0962904,75.1329,72.0,46.3954,0.206671,71.8159,0.0996566,74.9837,10.0,54.9687,0.22025,71.5396,0.0996566,74.9837,72.0,46.3954,1089091,1089091,1024,168656,0.154,0.025,0.129,0.347,1.202
0.136856,73.6061,0.0549754,77.567,45.0,48.4366,0.133679,73.7081,0.057219,77.3933,6.0,57.1872,0.136856,73.6061,0.057219,77.3933,45.0,48.4366,1089091,1089091,1024,274248,0.251,0.025,0.226,0.343,1.228
0.113851,74.4054,0.0448042,78.4555,13.0,53.8293,0.11271,74.4491,0.0466257,78.2825,6.0,57.1872,0.113851,74.4054,0.0466257,78.2825,13.0,53.8293,1089091,1089091,1024,350304,0.321,0.025,0.296,0.348,1.268
0.0943346,75.222,0.0357421,79.4369,6.0,57.1872,0.0937057,75.2511,0.0373367,79.2474,5.0,57.979,0.0943346,75.222,0.0373367,79.2474,6.0,57.1872,1089091,1089091,1024,443880,0.407,0.025,0.382,0.361,1.248
