mse1      (p2point),"mse1,PSNR (p2point)",mse1      (p2plane),"mse1,PSNR (p2plane)",h.       1(p2point),"h.,PSNR  1(p2point)",mse2      (p2point),"mse2,PSNR (p2point)",mse2      (p2plane),"mse2,PSNR (p2plane)",h.       2(p2point),"h.,PSNR  2(p2point)",mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",h.        (p2point),"h.,PSNR   (p2point)",num_points(input),num_points(output),resolution,bits,bpp,bpp(coords),bpp(feats),time(enc),time(dec)
2.14314,61.6582,1.01605,64.8996,501.0,37.9703,1.2777,63.9044,1.03852,64.8046,40.0,48.9481,2.14314,61.6582,1.03852,64.8046,501.0,37.9703,805285,805285,1024,19720,0.024,0.024,0.0,0.444,0.948
0.606958,67.1371,0.301808,70.1714,157.0,43.0097,0.457294,68.3668,0.298916,70.2132,25.0,50.9893,0.606958,67.1371,0.301808,70.1714,157.0,43.0097,805285,805285,1024,38416,0.047,0.024,0.023,0.256,0.926
0.302538,70.1609,0.149449,73.2238,33.0,49.7836,0.278424,70.5217,0.15269,73.1306,10.0,54.9687,0.302538,70.1609,0.15269,73.1306,33.0,49.7836,805285,805285,1024,72224,0.089,0.024,0.065,0.278,0.892
0.189537,72.1918,0.0841338,75.719,26.0,50.819,0.181903,72.3703,0.0868181,75.5826,8.0,55.9378,0.189537,72.1918,0.0868181,75.5826,26.0,50.819,805285,805285,1024,120048,0.149,0.024,0.125,0.269,0.945
0.128112,73.8928,0.05113,77.882,32.0,49.9172,0.124188,74.0279,0.053673,77.6712,9.0,55.4263,0.128112,73.8928,0.053673,77.6712,32.0,49.9172,805285,805285,1024,195096,0.242,0.024,0.218,0.257,0.913
0.106104,74.7114,0.0416661,78.7709,10.0,54.9687,0.104717,74.7686,0.0436767,78.5662,9.0,55.4263,0.106104,74.7114,0.0436767,78.5662,10.0,54.9687,805285,805285,1024,250912,0.311,0.024,0.287,0.269,0.936
0.0895348,75.4488,0.0340112,79.6525,13.0,53.8293,0.0886382,75.4925,0.0359168,79.4158,9.0,55.4263,0.0895348,75.4488,0.0359168,79.4158,13.0,53.8293,805285,805285,1024,319816,0.397,0.024,0.373,0.269,1.098
