mse1      (p2point),"mse1,PSNR (p2point)",mse1      (p2plane),"mse1,PSNR (p2plane)",h.       1(p2point),"h.,PSNR  1(p2point)",mse2      (p2point),"mse2,PSNR (p2point)",mse2      (p2plane),"mse2,PSNR (p2plane)",h.       2(p2point),"h.,PSNR  2(p2point)",mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",h.        (p2point),"h.,PSNR   (p2point)",num_points(input),num_points(output),resolution,bits,bpp,bpp(coords),bpp(feats),time(enc),time(dec)
42.9157,60.6901,16.9822,64.7164,6282.0,39.0353,19.5786,64.0985,10.0515,66.994,408.0,50.9097,42.9157,60.6901,16.9822,64.7164,6282.0,39.0353,499660,1980380,4096,56208,0.112,0.112,0.0,1.406,1.318
28.3148,62.4961,11.4997,66.4094,5984.0,39.2464,16.6644,64.7984,7.9135,68.0326,374.0,51.2876,28.3148,62.4961,11.4997,66.4094,5984.0,39.2464,499660,1980380,4096,118808,0.238,0.112,0.126,0.731,1.246
19.5523,64.1043,6.71457,68.7461,4201.0,40.7828,13.9394,65.5738,5.83908,69.3529,289.0,52.4073,19.5523,64.1043,6.71457,68.7461,4201.0,40.7828,499660,1980380,4096,285512,0.571,0.112,0.459,0.753,1.321
15.2736,65.1769,4.53767,70.448,3682.0,41.3555,12.3095,66.1139,4.92968,70.0881,206.0,53.8776,15.2736,65.1769,4.92968,70.0881,3682.0,41.3555,499660,1980380,4096,513400,1.027,0.112,0.915,0.766,1.266
12.0581,66.2035,3.70117,71.3329,2117.0,43.7591,11.1909,66.5277,4.36822,70.6132,146.0,55.3728,12.0581,66.2035,4.36822,70.6132,2117.0,43.7591,499660,1980380,4096,780424,1.562,0.112,1.45,0.748,1.299
10.8094,66.6783,3.46164,71.6235,3517.0,41.5546,10.6647,66.7368,4.07736,70.9125,131.0,55.8436,10.8094,66.6783,4.07736,70.9125,3517.0,41.5546,499660,1980380,4096,879728,1.761,0.112,1.649,0.774,1.279
9.56353,67.2101,3.15268,72.0295,1902.0,44.2242,10.4119,66.841,3.94105,71.0602,141.0,55.5241,10.4119,66.841,3.94105,71.0602,1902.0,44.2242,499660,1980380,4096,1036160,2.074,0.112,1.962,0.773,1.287
