mse1      (p2point),"mse1,PSNR (p2point)",mse1      (p2plane),"mse1,PSNR (p2plane)",h.       1(p2point),"h.,PSNR  1(p2point)",mse2      (p2point),"mse2,PSNR (p2point)",mse2      (p2plane),"mse2,PSNR (p2plane)",h.       2(p2point),"h.,PSNR  2(p2point)",mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",h.        (p2point),"h.,PSNR   (p2point)",num_points(input),num_points(output),resolution,bits,bpp,bpp(coords),bpp(feats),time(enc),time(dec)
2.55505,60.8947,1.30946,63.7978,153.0,43.1218,1.61808,62.8787,1.35503,63.6492,46.0,48.3411,2.55505,60.8947,1.35503,63.6492,153.0,43.1218,857966,857966,1024,21520,0.025,0.025,0.0,0.426,0.958
0.743926,66.2534,0.359824,69.4078,70.0,46.5177,0.523475,67.7798,0.354877,69.4679,26.0,50.819,0.743926,66.2534,0.359824,69.4078,70.0,46.5177,857966,857966,1024,41488,0.048,0.025,0.023,0.262,0.958
0.319458,69.9246,0.153962,73.0946,26.0,50.819,0.288828,70.3623,0.158948,72.9562,21.0,51.7465,0.319458,69.9246,0.158948,72.9562,26.0,50.819,857966,857966,1024,79456,0.093,0.025,0.068,0.275,0.951
0.201461,71.9268,0.0890903,75.4704,29.0,50.3447,0.190272,72.175,0.0912604,75.3659,6.0,57.1872,0.201461,71.9268,0.0912604,75.3659,29.0,50.3447,857966,857966,1024,131544,0.153,0.025,0.128,0.278,0.949
0.13697,73.6025,0.0540065,77.6443,38.0,49.1709,0.129479,73.8467,0.05556,77.5211,6.0,57.1872,0.13697,73.6025,0.05556,77.5211,38.0,49.1709,857966,857966,1024,212240,0.247,0.025,0.222,0.278,0.971
0.115044,74.3601,0.0447738,78.4585,34.0,49.6539,0.111108,74.5113,0.0461657,78.3255,6.0,57.1872,0.115044,74.3601,0.0461657,78.3255,34.0,49.6539,857966,857966,1024,271920,0.317,0.025,0.292,0.288,1.028
0.0962439,75.135,0.0361369,79.3892,34.0,49.6539,0.0932566,75.2719,0.0374281,79.2368,6.0,57.1872,0.0962439,75.135,0.0374281,79.2368,34.0,49.6539,857966,857966,1024,344352,0.401,0.025,0.376,0.283,0.971
