mse1      (p2point),"mse1,PSNR (p2point)",mse1      (p2plane),"mse1,PSNR (p2plane)",h.       1(p2point),"h.,PSNR  1(p2point)",mse2      (p2point),"mse2,PSNR (p2point)",mse2      (p2plane),"mse2,PSNR (p2plane)",h.       2(p2point),"h.,PSNR  2(p2point)",mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",h.        (p2point),"h.,PSNR   (p2point)",num_points(input),num_points(output),resolution,bits,bpp,bpp(coords),bpp(feats),time(enc),time(dec)
21.6018,63.6714,11.2243,66.5147,19180,34.1878,11.5903,66.3754,7.85708,68.0637,406,50.931,21.6018,63.6714,11.2243,66.5147,19180,34.1878,4848745,2856786,4096,84856,0.017,0.017,0,1.801,2.256
11.0722,66.5739,4.0456,70.9465,20121,33.9798,5.9199,69.2931,3.2767,71.8619,377,51.2529,11.0722,66.5739,4.0456,70.9465,20121,33.9798,4848745,2856786,4096,187568,0.038,0.017,0.021,1.142,2.244
6.98034,68.5775,2.92284,72.3582,19253,34.1713,4.74181,70.2569,2.3398,73.3245,205,53.8988,6.98034,68.5775,2.92284,72.3582,19253,34.1713,4848745,2856786,4096,431784,0.089,0.017,0.072,1.135,2.221
5.86762,69.3317,2.29674,73.4052,18713,34.2949,3.92879,71.0737,1.83166,74.3878,146,55.3728,5.86762,69.3317,2.29674,73.4052,18713,34.2949,4848745,2856786,4096,764304,0.157,0.017,0.14,1.153,2.233
5.23772,69.8249,1.95406,74.1069,18821,34.2699,3.46394,71.6206,1.54402,75.1298,113,56.4855,5.23772,69.8249,1.95406,74.1069,18821,34.2699,4848745,2856786,4096,1234264,0.254,0.017,0.237,1.178,2.258
5.04565,69.9871,1.85401,74.3352,17918,34.4834,3.32039,71.8044,1.4492,75.405,106,56.7632,5.04565,69.9871,1.85401,74.3352,17918,34.4834,4848745,2856786,4096,1478984,0.305,0.017,0.288,1.193,2.287
4.98,70.044,1.76201,74.5562,18066,34.4477,3.20025,71.9645,1.38049,75.616,85,57.7221,4.98,70.044,1.76201,74.5562,18066,34.4477,4848745,2856786,4096,1789192,0.369,0.017,0.352,1.202,2.305
