mse1      (p2point),"mse1,PSNR (p2point)",mse1      (p2plane),"mse1,PSNR (p2plane)",h.       1(p2point),"h.,PSNR  1(p2point)",mse2      (p2point),"mse2,PSNR (p2point)",mse2      (p2plane),"mse2,PSNR (p2plane)",h.       2(p2point),"h.,PSNR  2(p2point)",mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",h.        (p2point),"h.,PSNR   (p2point)",num_points(input),num_points(output),resolution,bits,bpp,bpp(coords),bpp(feats),time(enc),time(dec)
1.50752,69.2109,0.791753,72.0077,137.0,49.6264,1.17527,70.2922,0.953814,71.1989,49.0,54.0916,1.50752,69.2109,0.953814,71.1989,137.0,49.6264,2592758,2592758,2048,51256,0.02,0.02,0.0,1.543,1.636
0.378271,75.2155,0.174454,78.5768,59.0,53.285,0.317363,75.978,0.194412,78.1063,25.0,57.0142,0.378271,75.2155,0.194412,78.1063,59.0,53.285,2592758,2592758,2048,108104,0.042,0.02,0.022,0.779,1.637
0.21551,77.6589,0.0930899,81.3045,26.0,56.8438,0.20784,77.8163,0.110164,80.5732,10.0,60.9936,0.21551,77.6589,0.110164,80.5732,26.0,56.8438,2592758,2592758,2048,204080,0.079,0.02,0.059,0.787,1.626
0.145356,79.3692,0.0545013,83.6295,65.0,52.8644,0.140121,79.5285,0.0656363,82.8221,9.0,61.4511,0.145356,79.3692,0.0656363,82.8221,65.0,52.8644,2592758,2592758,2048,346080,0.134,0.02,0.114,0.79,1.636
0.0968833,81.1311,0.0340225,85.6759,17.0,58.6891,0.096471,81.1496,0.0413479,84.829,5.0,64.0039,0.0968833,81.1311,0.0413479,84.829,17.0,58.6891,2592758,2592758,2048,572984,0.221,0.02,0.201,0.801,1.625
0.0813045,81.8924,0.0277692,86.5579,16.0,58.9524,0.081033,81.907,0.033619,85.7277,2.0,67.9833,0.0813045,81.8924,0.033619,85.7277,16.0,58.9524,2592758,2592758,2048,750992,0.29,0.02,0.27,0.815,1.67
0.0671706,82.7218,0.0223186,87.5069,4.0,64.973,0.0671208,82.725,0.026844,86.7051,4.0,64.973,0.0671706,82.7218,0.026844,86.7051,4.0,64.973,2592758,2592758,2048,970464,0.375,0.02,0.355,0.82,1.642
